# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Nov 16 16:49:49 2023
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_msinie:      Planet Mass*sin(i) [Earth Mass]
# COLUMN pl_msinieerr1:  Planet Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_msinieerr2:  Planet Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_msinielim:   Planet Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_cmasse:      Planet Mass*sin(i)/sin(i) [Earth Mass]
# COLUMN pl_cmasseerr1:  Planet Mass*sin(i)/sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_cmasseerr2:  Planet Mass*sin(i)/sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_cmasselim:   Planet Mass*sin(i)/sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
#
loc_rowid,pl_name,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim
37,2MASS J01033563-5515561 AB b,4131.79000,317.83000,-317.83000,0,,,,,,,,,,,,
38,2MASS J01225093-2439505 b,,,,,,,,,,,,,,,,
39,2MASS J01225093-2439505 b,7786.50000,794.50000,-794.50000,0,,,,,,,,,,,,
40,2MASS J02192210-3925225 b,4417.83700,349.61300,-349.61300,0,,,,,,,,,,,,
41,2MASS J04414489+2301513 b,2383.60000,794.50000,-794.50000,0,,,,,,,,,,,,
42,2MASS J12073346-3932539 b,1589.15000,635.66000,-635.66000,0,,,,,,,,,,,,
43,2MASS J12073346-3932539 b,1271.00000,318.00000,-318.00000,0,,,,,,,,,,,,
44,2MASS J19383260+4603591 b,,,,,591.16084,15.89142,-15.89142,0,,,,,0.330000,0.050000,-0.050000,0
45,2MASS J19383260+4603591 b,603.87700,31.78300,-31.78300,0,,,,,,,,,,,,
46,2MASS J22362452+4751425 b,3972.87500,476.74500,-476.74500,0,,,,,,,,,,,,
47,30 Ari B b,,,,,3140.03000,298.75000,-298.75000,0,,,,,0.289000,0.092000,-0.092000,0
48,30 Ari B b,,,,,2097.67800,286.04700,-286.04700,0,,,,,0.180000,0.110000,-0.110000,0
49,30 Ari B b,,,,,4392.41060,572.09400,-572.09400,0,,,,,0.290000,0.090000,-0.090000,0
50,4 UMa b,,,,,2511.48007,63.24785,-120.13914,0,,,,,0.453000,0.021000,-0.036000,0
51,4 UMa b,,,,,2256.50000,508.50000,-508.50000,0,,,,,0.432000,0.024000,-0.024000,0
52,42 Dra b,,,,,1233.13000,270.14000,-270.14000,0,,,,,0.380000,0.060000,-0.060000,0
53,47 UMa b,,,,,778.68350,31.78300,-31.78300,0,,,,,0.012000,0.023000,-0.023000,0
54,47 UMa b,,,,,804.08000,22.25000,-19.07000,0,,,,,0.032000,0.014000,-0.014000,0
55,47 UMa b,,,,,877.17000,31.78000,-31.78000,0,,,,,0.097000,0.039000,-0.039000,0
56,47 UMa b,,,,,826.32000,41.32000,-41.32000,0,,,,,0.049000,0.014000,-0.014000,0
57,47 UMa b,,,,,774.86566,27.01541,-27.01541,0,,,,,0.016000,0.007600,-0.008000,0
58,47 UMa c,,,,,171.62100,20.97600,-23.20100,0,,,,,0.098000,0.047000,-0.096000,0
59,47 UMa c,,,,,425.87000,69.92000,-69.92000,0,,,,,0.005000,,,0
60,47 UMa c,,,,,157.96072,10.17051,-9.53485,0,,,,,0.179000,0.090000,-0.092000,0
61,47 UMa d,,,,,521.22000,92.17000,-152.55000,0,,,,,0.160000,0.090000,-0.160000,0
62,47 UMa d,,,,,479.92089,69.92225,-54.03083,0,,,,,0.380000,0.160000,-0.150000,0
63,51 Eri b,,,,,,,,,,,,,0.210000,0.190000,-0.150000,0
64,51 Eri b,,,,,,,,,,,,,0.450000,0.100000,-0.150000,0
65,51 Eri b,635.66000,,,0,,,,,,,,,,,,
66,51 Peg b,146.20180,19.06980,-3.17830,0,143.02350,,,0,145.000,,,0,0.000000,,,0
67,51 Peg b,,,,,148.73800,2.22500,-2.22500,0,,,,,0.000000,0.000000,0.000000,0
68,51 Peg b,,,,,149.38010,6.35660,-6.35660,0,,,,,0.000000,,,0
69,51 Peg b,,,,,147.47238,4.44960,-4.44960,0,,,,,0.004200,0.004600,-0.003000,0
70,51 Peg b,,,,,150.00900,12.39500,-12.39500,0,,,,,0.013000,0.012000,-0.012000,0
71,55 Cnc b,,,,,260.61000,38.14000,-38.14000,0,,,,,0.015900,0.008000,-0.008000,0
72,55 Cnc b,,,,,289.21000,6.36000,-6.36000,0,,,,,0.030000,0.023000,-0.023000,0
73,55 Cnc b,,,,,266.97720,,,0,,,,,0.051000,0.013000,-0.013000,0
74,55 Cnc b,266.96600,41.63400,-9.85200,0,,,,,,,,,0.002300,0.002500,-0.001600,0
75,55 Cnc b,263.97850,1.04880,-1.04880,0,,,,,,,,,0.003400,0.003200,-0.003200,0
76,55 Cnc b,,,,,254.25000,3.81400,-3.81400,0,,,,,0.004000,0.003000,-0.003000,0
77,55 Cnc b,,,,,255.40000,2.90000,-2.90000,0,,,,,0.000000,0.010000,-0.010000,0
78,55 Cnc b,,,,,261.88100,2.22500,-2.22500,0,,,,,0.014000,0.008000,-0.008000,0
79,55 Cnc b,,,,,249.17872,28.60470,-28.60470,0,,,,,0.019700,0.012000,-0.012000,0
80,55 Cnc b,254.25000,,,0,,,,,,,,,0.000000,,,0
81,55 Cnc b,,,,,267.29369,8.26354,-8.26354,0,,,,,0.004800,0.003600,-0.003100,0
82,55 Cnc b,,,,,266.97720,22.24810,-22.24810,0,,,,,0.020000,0.020000,-0.020000,0
83,55 Cnc c,,,,,54.34866,2.09767,-2.09767,0,,,,,0.048000,0.031000,-0.029000,0
84,55 Cnc c,,,,,68.96911,12.71320,-12.71320,0,,,,,0.440000,0.080000,-0.080000,0
85,55 Cnc c,,,,,52.44000,8.26300,-8.26300,0,,,,,0.053000,0.052000,-0.052000,0
86,55 Cnc c,56.69850,8.74000,-2.47900,0,,,,,,,,,0.072000,0.013000,-0.014000,0
87,55 Cnc c,,,,,51.20000,1.30000,-1.30000,0,,,,,0.030000,0.020000,-0.020000,0
88,55 Cnc c,,,,,53.71100,2.54300,-2.54300,0,,,,,0.086000,0.052000,-0.052000,0
89,55 Cnc c,54.47380,1.74800,-1.74800,0,,,,,,,,,0.020000,0.031000,-0.031000,0
90,55 Cnc c,,,,,52.44000,1.71620,-1.71620,0,,,,,0.070000,0.020000,-0.020000,0
91,55 Cnc d,,,,,908.98924,79.45710,-79.45710,0,,,,,0.139000,0.015000,-0.016000,0
92,55 Cnc d,,,,,1218.82700,25.42500,-25.42500,0,,,,,0.025000,0.030000,-0.030000,0
93,55 Cnc d,,,,,1287.21150,127.13200,-127.13200,0,,,,,0.160000,0.060000,-0.060000,0
94,55 Cnc d,,,,,1220.42000,184.33000,-184.33000,0,,,,,0.063000,0.030000,-0.030000,0
95,55 Cnc d,,,,,918.49000,149.37000,-149.37000,0,,,,,0.240000,0.130000,-0.130000,0
96,55 Cnc d,1232.49300,21.61200,-21.61200,0,,,,,,,,,0.019000,0.013000,-0.013000,0
97,55 Cnc d,1226.77000,190.69000,-47.67000,0,,,,,,,,,0.026900,0.006100,-0.006500,0
98,55 Cnc d,,,,,1243.35096,165.27160,-165.27160,0,,,,,0.327000,0.280000,-0.280000,0
99,55 Cnc d,,,,,991.60000,30.70000,-33.10000,0,,,,,0.130000,0.020000,-0.020000,0
100,55 Cnc d,,,,,1121.89000,25.43000,-25.43000,0,,,,,0.020000,0.008000,-0.008000,0
101,55 Cnc e,8.08000,0.31000,-0.31000,0,,,,,,,,,,,,
102,55 Cnc e,,,,,,,,,,,,,,,,
103,55 Cnc e,8.09479,0.26061,-0.25743,0,,,,,,,,,0.028000,0.022000,-0.019000,0
104,55 Cnc e,8.08000,0.31000,-0.31000,0,,,,,,,,,,,,
105,55 Cnc e,,,,,7.46870,1.55730,-1.55730,0,,,,,0.264000,0.060000,-0.060000,0
106,55 Cnc e,,,,,,,,,,,,,,,,
107,55 Cnc e,7.81000,0.58000,-0.53000,0,7.80000,0.56000,-0.56000,0,7.809,0.561,-0.561,0,0.061000,0.065000,-0.043000,0
108,55 Cnc e,,,,,,,,,,,,,,,,
109,55 Cnc e,,,,,14.30235,3.17830,-3.17830,0,,,,,0.174000,0.127000,-0.127000,0
110,55 Cnc e,7.74000,0.37000,-0.30000,0,,,,,,,,,,,,
111,55 Cnc e,8.59000,0.43000,-0.43000,0,,,,,,,,,,,,
112,55 Cnc e,8.37000,0.38000,-0.38000,0,,,,,,,,,0.000000,,,0
113,55 Cnc e,8.13928,0.23201,-0.23201,0,,,,,,,,,0.040000,0.027000,-0.027000,0
114,55 Cnc e,8.63000,0.35000,-0.35000,0,,,,,,,,,,,,
115,55 Cnc e,,,,,,,,,,,,,,,,
116,55 Cnc e,7.99000,0.32000,-0.33000,0,,,,,,,,,0.050000,0.030000,-0.030000,0
117,55 Cnc e,,,,,9.37594,0.44496,-0.44496,0,,,,,0.036000,0.034000,-0.025000,0
118,55 Cnc f,44.81200,3.81400,-3.81400,0,,,,,,,,,0.305000,0.075000,-0.075000,0
119,55 Cnc f,47.00510,6.96020,-2.95570,0,,,,,,,,,0.080000,0.102000,-0.057000,0
120,55 Cnc f,,,,,44.81200,12.39500,-12.39500,0,,,,,0.000000,0.200000,-0.200000,0
121,55 Cnc f,,,,,47.80000,2.40000,-2.40000,0,,,,,0.080000,0.050000,-0.040000,0
122,55 Cnc f,,,,,45.76600,12.71300,-12.71300,0,,,,,0.200000,0.200000,-0.200000,0
123,55 Cnc f,,,,,46.87969,2.98759,-2.98759,0,,,,,0.142000,0.060000,-0.066000,0
124,55 Cnc f,,,,,54.66400,2.54300,-2.54300,0,,,,,0.320000,0.050000,-0.050000,0
125,6 Lyn b,,,,,762.80000,,,0,,,,,0.134000,0.052000,-0.052000,0
126,6 Lyn b,,,,,702.40430,34.96130,-50.85280,0,,,,,0.125000,,,1
127,6 Lyn b,,,,,597.83523,12.07748,-28.28673,0,,,,,0.042000,0.024000,-0.032000,0
128,6 Lyn b,,,,,638.83830,24.47291,-24.47291,0,,,,,0.073000,0.036000,-0.036000,0
129,61 Vir b,,,,,5.11704,0.54031,-0.50853,0,,,,,0.099000,0.091000,-0.070000,0
130,61 Vir b,,,,,5.10000,0.50000,-0.50000,0,,,,,0.120000,0.110000,-0.110000,0
131,61 Vir c,,,,,16.11390,1.11240,-1.17597,0,,,,,0.068000,0.067000,-0.047000,0
132,61 Vir c,,,,,18.20000,1.10000,-1.10000,0,,,,,0.140000,0.060000,-0.060000,0
133,61 Vir d,,,,,22.90000,2.60000,-2.60000,0,,,,,0.350000,0.090000,-0.090000,0
134,7 CMa b,,,,,781.86180,44.49620,-44.49620,0,,,,,0.220000,0.070000,-0.070000,0
135,7 CMa b,,,,,826.30000,190.70000,-190.70000,0,,,,,0.140000,0.060000,-0.060000,0
136,7 CMa b,,,,,587.98550,19.06980,-12.71320,0,587.986,19.070,-19.070,0,0.060000,0.030000,-0.030000,0
137,7 CMa c,,,,,276.51210,19.06980,-19.06980,0,276.512,19.070,-19.070,0,0.080000,0.050000,-0.040000,0
138,70 Vir b,,,,,2084.88000,12.71000,-12.71000,0,,,,,0.397000,0.005000,-0.005000,0
139,70 Vir b,,,,,2421.86460,108.06220,-108.06220,0,,,,,0.400000,0.000000,0.000000,0
140,70 Vir b,,,,,2297.89938,41.31769,-41.31769,0,,,,,0.398900,0.001100,-0.001200,0
141,70 Vir b,,,,,2357.02728,18.11631,-18.11631,0,,,,,0.398800,0.001900,-0.001900,0
142,70 Vir b,2380.45000,193.87000,-193.87000,0,,,,,,,,,0.400700,0.003500,-0.003500,0
143,70 Vir b,,,,,2351.94200,6.35660,-6.35660,0,,,,,0.399000,0.002000,-0.002000,0
144,75 Cet b,,,,,953.49000,,,0,,,,,0.117000,0.048000,-0.048000,0
145,75 Cet b,,,,,787.89662,23.51930,-28.60456,0,,,,,0.093000,0.026000,-0.042000,0
146,75 Cet c,,,,,289.85951,27.96890,-45.44946,0,,,,,0.023000,0.191000,-0.003000,0
147,8 UMi b,,,,,416.35730,50.85280,-50.85280,0,,,,,0.060000,0.090000,-0.090000,0
148,8 UMi b,,,,,476.74500,63.56600,-63.56600,0,,,,,0.060000,0.180000,-0.180000,0
149,81 Cet b,,,,,1684.40000,,,0,,,,,0.206000,0.029000,-0.029000,0
150,81 Cet b,,,,,1274.40000,190.70000,-95.30000,0,,,,,,,,
151,81 Cet b,,,,,1051.05854,24.79062,-21.29450,0,,,,,0.037000,0.015000,-0.025000,0
152,91 Aqr b,,,,,1017.00000,,,0,,,,,0.027000,0.026000,-0.026000,0
153,AB Aur b,2860.45566,,,0,,,,,,,,,0.400000,0.200000,-0.210000,0
154,AB Pic b,4290.50000,158.90000,-158.90000,0,,,,,,,,,,,,
155,AF Lep b,1017.05090,222.47988,-190.69704,0,,,,,,,,,0.240000,0.270000,-0.150000,0
156,AF Lep b,1366.66215,921.70238,-381.39409,0,,,,,,,,,0.320000,0.410000,-0.230000,0
157,AF Lep b,1664.46737,27.01541,-31.78284,0,,,,,,,,,0.470000,0.170000,-0.130000,0
158,AU Mic b,,,,,,,,,,,,,0.000000,,,0
159,AU Mic b,10.20000,3.90000,-2.70000,0,,,,,,,,,,,,
160,AU Mic b,,,,,,,,,,,,,,,,
161,AU Mic b,,,,,,,,,,,,,0.120000,0.160000,-0.080000,0
162,AU Mic b,20.12000,1.57000,-1.72000,0,,,,,,,,,0.186000,0.036000,-0.035000,0
163,AU Mic b,17.10000,4.70000,-4.50000,0,,,,,,,,,,,,
164,AU Mic b,,,,,57.20940,,,1,,,,,0.100000,0.170000,-0.090000,0
165,AU Mic b,17.00000,5.00000,-5.00000,0,,,,,,,,,0.000000,,,0
166,AU Mic b,11.70000,5.00000,-5.00000,0,,,,,,,,,0.040000,0.045000,-0.025000,0
167,AU Mic c,13.60000,11.40000,-11.40000,0,,,,,,,,,0.000000,,,0
168,AU Mic c,,,,,,,,,,,,,0.130000,0.160000,-0.090000,0
169,AU Mic c,9.60000,2.07000,-2.31000,0,,,,,,,,,,,,
170,AU Mic c,22.20000,6.70000,-6.70000,0,,,,,,,,,0.041000,0.047000,-0.026000,0
171,AU Mic c,14.20000,4.80000,-3.50000,0,,,,,,,,,,,,
172,BD+03 2562 b,,,,,2034.11200,413.17900,-413.17900,0,,,,,0.200000,0.120000,-0.080000,0
173,BD+14 4559 b,,,,,330.54320,149.38010,-149.38010,0,,,,,0.290000,0.030000,-0.030000,0
174,BD+14 4559 b,,,,,467.19000,,,0,,,,,0.290000,0.030000,-0.030000,0
175,BD+15 2375 b,,,,,337.21763,85.81410,-85.81410,0,,,,,0.001000,0.250000,-0.001000,0
176,BD+15 2940 b,,,,,352.78000,,,0,,,,,0.260000,0.100000,-0.100000,0
177,BD+20 2457 b,,,,,6807.63000,,,0,,,,,0.150000,0.030000,-0.030000,0
178,BD+20 2457 b,,,,,17668.16970,24965.54650,-24965.54650,0,,,,,0.150000,0.030000,-0.030000,0
179,BD+20 2457 c,,,,,3963.17000,,,0,,,,,0.180000,0.060000,-0.060000,0
180,BD+20 274 b,,,,,1334.88600,,,0,,,,,0.210000,0.060000,-0.060000,0
181,BD+20 594 b,,,,,,,,,,,,,,,,
182,BD+20 594 b,16.30000,6.00000,-6.10000,0,,,,,,,,,0.000000,,,0
183,BD+20 594 b,22.24810,9.53490,-9.53490,0,,,,,,,,,0.000000,,,0
184,BD+45 564 b,,,,,432.24663,38.13941,-38.13941,0,,,,,0.120000,0.060000,-0.060000,0
185,BD+48 738 b,,,,,289.22530,,,0,,,,,0.200000,0.100000,-0.100000,0
186,BD+48 740 b,,,,,540.31100,222.48100,-222.48100,0,,,,,0.760000,0.050000,-0.090000,0
187,BD+49 828 b,,,,,508.50000,127.10000,-63.60000,0,,,,,0.350000,0.240000,-0.100000,0
188,BD+55 362 b,,,,,228.83645,25.42627,-25.42627,0,,,,,0.270000,0.060000,-0.060000,0
189,BD+60 1417 b,4767.42610,1589.14204,-1589.14204,0,,,,,,,,,,,,
190,BD+63 1405 b,,,,,1258.60049,98.52681,-98.52681,0,,,,,0.880000,0.020000,-0.020000,0
191,BD+63 1405 b,3305.41543,413.17693,-349.61125,0,1293.56162,171.62734,-101.70509,0,,,,,0.891000,0.046000,-0.016000,0
192,BD-00 4475 b,,,,,7961.60160,708.75735,-708.75735,0,,,,,0.390000,0.010000,-0.010000,0
193,BD-06 1339 b,,,,,8.50000,1.30000,-1.30000,0,,,,,0.000000,,,0
194,BD-06 1339 c,,,,,53.00000,8.00000,-8.00000,0,,,,,0.310000,0.110000,-0.110000,0
195,BD-08 2823 b,,,,,12.71320,3.17830,-3.17830,0,,,,,0.150000,0.150000,-0.150000,0
196,BD-08 2823 b,,,,,14.40000,2.10000,-2.10000,0,,,,,0.150000,0.150000,-0.150000,0
197,BD-08 2823 c,,,,,104.00000,10.00000,-10.00000,0,,,,,0.190000,0.090000,-0.090000,0
198,BD-10 3166 b,,,,,152.55000,9.53000,-9.53000,0,,,,,0.050000,0.050000,-0.050000,0
199,BD-10 3166 b,,,,,187.51970,22.24810,-22.24810,0,,,,,0.020000,0.020000,-0.020000,0
200,BD-10 3166 b,,,,,145.56000,12.39500,-12.39500,0,,,,,0.019000,0.023000,-0.023000,0
201,BD-10 3166 b,,,,,142.70495,5.40308,-5.40308,0,,,,,0.022000,0.024000,-0.015000,0
202,BD-11 4672 b,,,,,206.58950,15.89150,-19.06980,0,,,,,0.050000,0.050000,-0.030000,0
203,BD-11 4672 b,,,,,168.44000,15.89000,-15.89000,0,,,,,0.050000,0.060000,-0.040000,0
204,BD-11 4672 c,,,,,15.37000,2.97000,-2.81000,0,,,,,0.400000,0.130000,-0.150000,0
205,BD-13 2130 b,,,,,3368.99800,,,0,,,,,0.210000,0.070000,-0.070000,0
206,BD-13 2130 b,,,,,3108.37740,1449.30480,-1449.30480,0,,,,,0.210000,0.070000,-0.070000,0
207,BD-17 63 b,,,,,1620.90000,38.14000,-38.14000,0,,,,,0.540000,0.005000,-0.005000,0
208,BD-17 63 b,,,,,905.81550,368.68280,-368.68280,0,,,,,0.540000,0.000000,0.000000,0
209,BD-210397 b,,,,,214.00000,31.00000,-32.00000,0,,,,,0.100000,0.100000,-0.100000,0
210,BD-210397 c,1525.57635,190.69704,-190.69704,0,,,,,,,,,0.430000,0.050000,-0.050000,0
211,BD-210397 c,,,,,759.00000,485.00000,-76.00000,0,,,,,0.100000,0.200000,-0.100000,0
212,CD Cet b,,,,,3.95000,0.42000,-0.43000,0,,,,,,,,
213,CFBDSIR J145829+101343 b,3337.10000,1430.20000,-1430.20000,0,,,,,,,,,,,,
214,CFHTWIR-Oph 98 b,2479.06157,222.47988,-254.26273,0,,,,,,,,,,,,
215,CHXR 73 b,3994.48600,2662.99100,-1664.36900,0,,,,,,,,,,,,
216,CI Tau b,3686.82800,921.70700,-858.14100,0,,,,,,,,,0.250000,0.160000,-0.160000,0
217,COCONUTS-2 b,2002.31896,476.74261,-603.87397,0,,,,,,,,,,,,
218,CT Cha b,5403.00000,1907.00000,-1907.00000,0,,,,,,,,,,,,
219,CoRoT-1 b,390.93090,31.78300,-31.78300,0,,,,,,,,,0.036000,,,1
220,CoRoT-1 b,,,,,,,,,,,,,,,,
221,CoRoT-1 b,,,,,,,,,,,,,,,,
222,CoRoT-1 b,327.35000,38.14000,-38.14000,0,,,,,,,,,0.000000,,,0
223,CoRoT-1 b,327.36490,31.78300,-31.78300,0,,,,,,,,,,,,
224,CoRoT-1 b,340.07810,54.03110,-54.03110,0,,,,,,,,,0.071000,0.620000,-0.480000,0
225,CoRoT-1 b,359.14790,22.24810,-22.24810,0,,,,,,,,,0.000000,,,0
226,CoRoT-10 b,867.67590,44.49620,-44.49620,0,,,,,,,,,0.524000,0.018000,-0.018000,0
227,CoRoT-10 b,874.00000,50.85000,-50.85000,0,,,,,,,,,0.530000,0.040000,-0.040000,0
228,CoRoT-10 b,883.56740,47.67450,-47.67450,0,,,,,,,,,,,,
229,CoRoT-11 b,832.71460,187.51970,-197.05460,0,,,,,,,,,0.360000,,,1
230,CoRoT-11 b,743.72220,123.95370,-123.95370,0,,,,,,,,,,,,
231,CoRoT-11 b,791.39670,85.81410,-85.81410,0,,,,,,,,,0.000000,,,0
232,CoRoT-11 b,,,,,,,,,,,,,,,,
233,CoRoT-11 b,740.51000,108.06000,-108.06000,0,,,,,,,,,0.000000,,,0
234,CoRoT-12 b,281.91521,25.10857,-25.10857,0,,,,,,,,,,,,
235,CoRoT-12 b,291.43800,22.24700,-20.65800,0,,,,,,,,,0.070000,0.063000,-0.042000,0
236,CoRoT-12 b,290.81445,22.56593,-21.93027,0,,,,,,,,,0.050000,,,1
237,CoRoT-12 b,277.46559,25.74423,-24.79074,0,,,,,,,,,,,,
238,CoRoT-12 b,,,,,,,,,,,,,,,,
239,CoRoT-12 b,,,,,,,,,,,,,,,,
240,CoRoT-13 b,,,,,,,,,,,,,,,,
241,CoRoT-13 b,416.99296,30.51168,-30.51168,0,,,,,,,,,,,,
242,CoRoT-13 b,415.70400,20.97600,-20.97600,0,,,,,,,,,0.000000,,,0
243,CoRoT-13 b,,,,,,,,,,,,,,,,
244,CoRoT-13 b,423.03173,23.20159,-23.20159,0,,,,,,,,,0.067000,,,1
245,CoRoT-14 b,2415.40000,190.70000,-190.70000,0,,,,,,,,,0.000000,,,0
246,CoRoT-14 b,2358.29860,149.38010,-149.38010,0,,,,,,,,,0.036000,,,1
247,CoRoT-14 b,2437.75610,158.91500,-158.91500,0,,,,,,,,,,,,
248,CoRoT-16 b,168.13207,31.14734,-30.51168,0,,,,,,,,,0.370000,0.110000,-0.120000,0
249,CoRoT-16 b,170.03200,27.01400,-26.37900,0,,,,,,,,,0.330000,0.090000,-0.100000,0
